OBJECTID,Direction,RouteNum,RouteName,Miles,Orientation,BaseFreq1,PeakFreq1,NightFreq1,BaseFreq6,NightFreq6,BaseFreq7,NightFreq7,Span1,Span6,Span7,RunPick,OperationDays,Description,LocalService,Shape__Length
17,Eastbound,7,Seven Mile,19.9701894964115,East - West,20,20,30,30,30,30,40,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Redford and Detroit between Meijer Old Redford and St John Hospital. Main streets served are Grand River, Lasher, 7 mile, Cadieux, Morang and Moross.",1,0.379261420607919
18,Westbound,7,Seven Mile,19.8705346716308,East - West,20,20,30,30,30,30,40,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Redford and Detroit between Meijer Old Redford and St John Hospital. Main streets served are Grand River, Lasher, 7 mile, Cadieux, Morang and Moross.",1,0.377139264993017
19,Eastbound,8,Warren,20.2967636166798,East - West,30,30,60,45,60,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Detroit from Mack & Moross to Warren & Telegraph. The main street served is Warren Ave. In addition to Detroit, this route also serves Dearborn.",1,0.384603347295531
20,Westbound,8,Warren,20.0616805373655,East - West,30,30,60,45,60,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Detroit from Mack & Moross to Warren & Telegraph. The main street served is Warren Ave. In addition to Detroit, this route also serves Dearborn.",1,0.380803872566818
21,Eastbound,9,Jefferson,7.60251900405639,East - West,20,20,60,30,40,35,60,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from Downtown Rosa Parks Transit Center to Grosse Pointe Park. The main street used is Jefferson.,1,0.136936842837488
22,Westbound,9,Jefferson,7.28586878629675,East - West,20,20,60,30,40,35,60,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from Downtown Rosa Parks Transit Center to Grosse Pointe Park. The main street used is Jefferson.,1,0.13150348705804
23,Southbound,10,Greenfield,13.3789119208082,North - South,20,20,30,30,30,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Southfield, Detroit and Dearborn between Providence Hospital and Fairlane Town Center. The main street served in Greenfield.",1,0.207784697715057
24,Northbound,10,Greenfield,12.7417598211557,North - South,20,20,30,30,30,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Southfield, Detroit and Dearborn between Providence Hospital and Fairlane Town Center. The main street served in Greenfield.",1,0.196089039956234
25,Southbound,12,Conant,12.1777795645544,North - South,60,60,0,60,0,60,0,7:30a - 8:15p,7:30a - 8:15p,8:00a - 6:45p,April 2022,Monday - Sunday,"An east side route that connects Detroit from Belle Isle to Fairgrounds. The main streets served are Conant Street, Mt Elliot, E Grand Blvd and State Fair. In addition to Detroit, this route also serves Hamtramck.",1,0.203465678768132
26,Northbound,12,Conant,11.6609433567497,North - South,60,60,0,60,0,60,0,7:30a - 8:15p,7:30a - 8:15p,8:00a - 6:45p,April 2022,Monday - Sunday,"An east side route that connects Detroit from Belle Isle to Fairgrounds. The main streets served are Conant Street, Mt Elliot, E Grand Blvd and State Fair. In addition to Detroit, this route also serves Hamtramck.",1,0.194556856947187
27,Northbound,13,Conner,8.21364667534964,North - South,60,60,0,60,0,60,0,5:30a - 9:00p,5:30a - 9:00p,6:45a - 8:00p,April 2022,Monday - Sunday,An east Side route that connects Detroit from Conner & Jefferson to Bel-Air Center. The main streets served are Conner St and Hoover St.,1,0.136499474615878
28,Southbound,13,Conner,7.91778879547573,North - South,60,60,0,60,0,60,0,5:30a - 9:00p,5:30a - 9:00p,6:45a - 8:00p,April 2022,Monday - Sunday,An east Side route that connects Detroit from Conner & Jefferson to Bel-Air Center. The main streets served are Conner St and Hoover St.,1,0.130790279744447
29,Eastbound,15,Chicago-Davison,13.1269548239751,East - West,60,60,0,60,0,60,0,7:00a - 9:00pp,7:00a - 8:40p,7:00a - 7:40p,April 2022,Monday - Sunday,"A crosstown route that connects Detroit from Rouge Park to Woodward & Manchester. The main streets served are Chicago and Davison. In addition to Detroit, this route also serves Highland Park.",1,0.236545007059779
30,Westbound,15,Chicago-Davison,12.7347452582762,East - West,60,60,0,60,0,60,0,7:00a - 9:00p,7:00a - 8:40p,7:00a - 7:40p,April 2022,Monday - Sunday,"A crosstown route that connects Detroit from Rouge Park to Woodward & Manchester. The main streets served are Chicago and Davison. In addition to Detroit, this route also serves Highland Park.",1,0.230546773408536
31,Northbound,16,Dexter,18.9242029960296,North - South,20,20,60,30,60,30,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Connects Detroit from Downtown to Providence Hospital (JL Hudson & Greenfield). The main streets served are W Outer Drive, Cass, Dexter, W Grand Blvd and Greenfield. In addition to Detroit, this route also serves Southfield.",1,0.321210536076219
32,Southbound,16,Dexter,18.7371300043739,North - South,20,20,60,30,60,30,60,24hr,24hr,24hr,April 2022,Monday - Sunday,"Connects Detroit from Downtown to Providence Hospital (JL Hudson & Greenfield). The main streets served are W Outer Drive, Cass, Dexter, W Grand Blvd and Greenfield. In addition to Detroit, this route also serves Southfield.",1,0.318085732650893
33,Westbound,17,Eight Mile,24.3215273834031,East - West,20,20,60,30,60,30,60,24hr,24hr,24hr,April 2022,Monday - Sunday,A crosstown route that connects Detroit from Mack & Moross to 7 Mile & Grand River. The main street served is 8 Mile.,1,0.457916115054603
34,Eastbound,17,Eight Mile,23.9764722718454,East - West,20,20,60,30,60,30,60,24hr,24hr,24hr,April 2022,Monday - Sunday,A crosstown route that connects Detroit from Mack & Moross to 7 Mile & Grand River. The main street served is 8 Mile.,1,0.451302301625834
35,Eastbound,18,Fenkell,15.0535482372752,East - West,45,45,60,45,60,60,0,6:00a - 11:00p,6:00a - 11:00p,8:00a - 8:50p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to Fenkell & Telegraph. The main streets served are Fenkell, 14th (NB) and 12th (SB).",1,0.271196427023305
36,Westbound,18,Fenkell,15.2788814566846,East - West,45,45,60,45,60,60,0,6:00a - 11:00p,6:00a - 11:00p,8:00a - 8:50p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to Fenkell & Telegraph. The main streets served are Fenkell, 14th (NB) and 12th (SB).",1,0.274164351009597
37,Eastbound,19,Fort,8.29747955703991,East - West,60,60,65,60,60,60,60,5:00a - 12:30a,5:00a - 12:30a,5:00a - 12:00a,April 2022,Monday - Sunday,A southwest route that connects Detroit from Downtown Rosa Parks Transit Center to W Outer Dr & Fort. The main street served is Fort.,1,0.1459850423261
38,Westbound,19,Fort,8.50130710347312,East - West,60,60,65,60,60,60,60,5:00a - 12:30a,5:00a - 12:30a,5:00a - 12:00a,April 2022,Monday - Sunday,A southwest route that connects Detroit from Downtown Rosa Parks Transit Center to W Outer Dr & Fort. The main street served is Fort.,1,0.149389360180727
39,Southbound,23,Hamilton,10.8801967520407,North - South,60,60,60,60,60,60,0,7:00a - 9:45p,7:00a - 9:45p,7:00a - 8:45p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to 8 Mile & Woodward (Gateway Shopping Plaza & Meijer). The main streets used are McNichols, John R, Hamilton and 3rd.",1,0.175146338827477
40,Northbound,23,Hamilton,11.3406161760493,North - South,60,60,60,60,60,60,0,7:00a - 9:45p,7:00a - 9:45p,7:00a - 8:45p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to 8 Mile & Woodward (Gateway Shopping Plaza & Meijer). The main streets used are McNichols, John R, Hamilton and 3rd.",1,0.184429334482979
41,Eastbound,27,Joy,15.7337503021083,East - West,60,60,60,60,60,60,0,6:40a - 10:30p,6:40a - 10:30p,7:00a - 7:50p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Telegraph & W Chicago (Redford Plaza) to Downtown Rosa Parks Transit Center. The main streets served are Joy Rd, W Lafayette and W Grand Blvd.",1,0.282678435208449
42,Westbound,27,Joy,15.9041706617729,East - West,60,60,60,60,60,60,0,6:40a - 10:30p,6:40a - 10:30p,7:00a - 7:50p,April 2022,Monday - Sunday,"A west side route that connects Detroit from Telegraph & W Chicago (Redford Plaza) to Downtown Rosa Parks Transit Center. The main streets served are Joy Rd, W Lafayette and W Grand Blvd.",1,0.285169779310906
43,Northbound,29,Linwood,9.69523468857863,North - South,60,60,0,60,0,60,0,6:50 - 9:40p,6:50 - 9:40p,7:00a - 7:40p,April 2022,Monday - Sunday,A west side route that connects Detroit from Downtown Rosa Parks Transit Center to University of Detroit Mercy. The main streets used are Trumbull and Linwood.,1,0.157326211005592
44,Southbound,29,Linwood,10.3051246789495,North - South,60,60,0,60,0,60,0,6:50 - 9:40p,6:50 - 9:40p,7:00a - 7:40p,April 2022,Monday - Sunday,A west side route that connects Detroit from Downtown Rosa Parks Transit Center to University of Detroit Mercy. The main streets used are Trumbull and Linwood.,1,0.166094088414044
